,auto_mobility,auto_charge_station,auto_cycles,auto_points,teleop_cycles,teleop_points,total_cycles,links,link_points,total_points,cube_cycles,cube_points,cone_cycles,cone_points,bot_cycles,bot_points,mid_cycles,mid_points,top_cycles,top_points,auto_bot_cubes,auto_mid_cubes,auto_top_cubes,auto_bot_cones,auto_mid_cones,auto_top_cones,auto_bot_cycles,auto_mid_cycles,auto_top_cycles,auto_cube_cycles,auto_cone_cycles,teleop_bot_cubes,teleop_mid_cubes,teleop_top_cubes,teleop_bot_cones,teleop_mid_cones,teleop_top_cones,teleop_bot_cycles,teleop_mid_cycles,teleop_top_cycles,teleop_cube_cycles,teleop_cone_cycles,endgame_charge_station,fouls_committed,fouls_drawn,capped_fouls_committed,capped_fouls_drawn
1,3.4356900323679738,3.9963613707605217,0.871981334334453,4.89869145813085,2.7895255692286978,9.99050011419567,3.66150690356315,0.9603985769931364,4.801992884965683,19.69118445729221,2.7853724538938494,9.707700285115385,0.8839438918692812,5.220483208646859,1.485947361218706,3.029151683799241,-0.04411105028112468,-0.16046758258104243,2.2829966579137837,12.2322806797226,0.06258135492911046,-0.011947217311211327,0.7818472120306186,0.06685742189053534,-0.06312010165394967,0.08907674752703189,0.12099393139034821,-0.08033612591319626,0.8603551191858121,0.8140712075624753,0.07583881257304685,1.6183713711376897,0.07507869299297802,0.356857381785429,-0.19422273906596016,-0.02271858948518824,1.0977235874195284,1.3976254502718002,0.042577181932696745,1.4446045385964414,2.0072175046850536,0.8332173129829182,8.18835887942703,0.1254620792314084,2.104957650463169,0.4202629962660673,2.070435081805987
4,2.1379317791716903,2.02391743031922,0.8958745670889358,3.5915344649021366,3.2358313555899914,8.681464560817362,4.131706072100157,1.0014662801663516,5.007331400831759,17.280330608468535,1.9269646051781644,4.881190546379399,2.205124961697635,7.467486785052369,2.9458555552681753,6.502091610357925,0.19889926981405306,0.5146069772688918,1.0071705297873488,5.352380934090244,-0.054473644171225286,-0.048466170672564285,0.11828639332586197,0.6880061062763758,-0.04038969732588254,0.23426421744306944,0.6332739638186804,-0.0890171471573387,0.35222709660292684,0.014783040614771231,0.8813610106805345,1.6460801385158053,0.046463802306508796,0.22269536274044233,0.6638176964955397,0.23554243726614987,0.4258446883537523,2.3090859554921264,0.28170678252693726,0.6482346707010327,1.9139203124615483,1.3237488502909274,9.07820347501408,0.6276733432890428,0.0,0.5476448130088685,0.0
8,1.9949678182849935,4.093031370893982,1.0798887994545499,5.682214365145916,4.217344209958292,16.26889937704705,5.297208607801303,1.2537670170753796,6.268835085376898,28.219942042385146,1.822837796385368,8.46910347946972,3.4756636879328706,13.466586631458684,1.2662563050230002,2.675174678528165,0.9638174670253595,3.058113818503234,3.116649730488617,16.283000603353955,0.21683264089477558,0.14436689064733768,0.7012106390230526,-0.0025292720075298473,-0.009419240158907109,0.07386840155137732,0.2073215240443961,0.13059162136675018,0.7663411655875153,1.0471894354249307,0.047885458689836305,0.03431889463837009,0.39067753754578866,0.41829167438088577,1.0712419516660512,0.46027232131536805,1.959193325171739,1.0836325894030752,0.8428617486501514,2.369236904169793,0.8076631461698044,3.45138289115749,6.410883022149583,0.3280673100355991,2.6472179539254808,0.670983048135221,2.1520137418150314
11,3.5361375817924183,4.269265470890697,1.7362346989739528,9.003101996753609,5.7000452199934575,18.48350376433322,7.436280171053018,2.199914468262666,10.999572341313334,38.48617817265299,3.841345604393448,12.177796580457889,3.59422559658704,15.296913157409856,2.8220737415413106,6.035514905746172,1.484071942375548,4.606221154658447,3.125492235760506,16.820015975625974,0.2143454396517865,0.1426148116224215,0.2582265699049742,0.1715955256021292,0.011786325746858065,0.9301983015265053,0.38714032427718253,0.15514942710505775,1.1899258857687525,0.6178014776836003,1.1159910229921244,1.9749242723220908,0.38660795060563513,0.8503582566403726,0.44793066718085395,0.941425098973763,1.0785898372404414,2.426621831115564,1.3294224456747123,1.9303649726349006,3.218010225661756,2.4747009013477017,7.528216619824982,0.2851780449277717,0.0,0.3115017366252422,0.0
16,2.8830241286331897,4.396777519905364,0.9988659831886025,5.992655232140203,5.503436876564047,20.047282887518012,6.50230304536419,2.152512193318602,10.76256096659301,36.802499133239216,1.8109416285026332,7.063101426564517,4.691248637829589,18.990857131238442,1.6236000168444225,3.1960814708391707,1.3052736634861326,3.974062863167634,3.580203220379032,18.885164732023874,-0.08150607027987977,0.07449453092409852,0.07179393930558747,0.04830820154264478,-0.012210133219934942,0.9295957317371124,-0.038112434358331775,0.05921816070695619,0.9952390244759673,0.05406842630362472,0.9558148737647953,0.522176773403615,0.3361536589973725,0.9458615791366263,1.1828960987949704,0.928125974209213,1.6700241668136273,1.6896374307180564,1.2585863602569067,2.610079858406146,1.7791153721174917,3.7533653249005243,6.8090669431355115,1.0127393131211806,2.2373556026544446,0.8449253865587747,2.0546915533826464
20,3.9102837286432615,3.7021964966362853,1.0546193996908217,5.9762638100622665,4.942624438915516,18.594945980405836,5.99723055919567,1.8117042241064352,9.058521120532179,33.62972722589591,1.9773444277377779,8.679266471053651,4.019538964815626,15.92891559390878,1.5953201721933734,3.213384418199907,0.8189976470714877,2.5203189396814567,3.570893539036403,18.853184471539933,-0.012620319314956887,0.09865078973660318,0.8887042702052594,0.025107681357082197,-0.024711376719133822,0.09330101108600856,0.01041518838883561,0.0726465672178161,0.9794119274226026,0.970217309052413,0.08953197286975431,0.6065039720793683,0.12146833140590908,0.29813639892465343,0.9977781343228125,0.6406618437203706,2.312068520037873,1.5977739187760875,0.7597296679163101,2.6077569290219276,1.0155354075298377,3.9388371384914476,7.0386612549970975,0.0,1.5235220006048187,0.0,1.6633559196678394
21,2.3183814173381916,2.59281579864535,1.124314289107867,6.454541981308833,3.22770408039522,10.23351058439905,4.352018369503087,0.6797703480434927,3.398851740217464,20.086904305925348,3.8659967276391876,14.585892498089606,0.485543048287805,2.101849110344296,1.5172204293754057,3.0554859696582843,0.8342310313738883,2.6172834610229727,2.0065079687430334,11.015997583194995,0.04981246775469057,0.014255863273097972,0.9576181072460359,-0.008725262157044082,0.1062103493583538,0.04313585752817623,0.03511939662228721,0.11674284863892273,0.9932851696425241,1.008676346840113,0.12862486011983218,1.2820522040461357,0.92366180750161,0.7100987128422612,0.2579181306935659,-0.18847989502880508,0.342176695388177,1.5212269150139166,0.7282685109582513,1.0452252576236554,2.8853618961091025,0.37800170351144224,5.21564953675579,0.34682193609081174,0.3340176979505034,0.4517425335306555,0.3896902420686108
25,3.32711863168782,2.9781794669463353,0.7334785150166323,4.3534045584358765,6.548989370926914,22.191024178944026,7.28246632402024,2.2440466573856477,11.22023328692824,37.764661594797765,3.088688971592215,11.326467392970839,4.193000911293181,15.259524584048744,2.328434352971438,4.640520752601755,1.7876617807834598,5.319896360606677,3.1676170256186413,16.615099388317155,0.06405322918967811,-0.015091241758198676,0.9422562708835395,-0.0776929100589809,-0.025447185636028772,-0.15634315037784074,-0.013369033016057297,-0.040369568022958935,0.7862518400218675,0.9918082827832283,-0.2589392081251949,1.116978177412216,0.7965814183824922,0.18120582690063247,1.2222032695643157,1.0296939965489265,2.197822993969047,2.340031485295823,1.8265889466289418,2.379348554315348,2.096146407129964,4.451244663412275,6.695187225701533,3.7558691561308586,0.11015273281638188,3.559934159636873,0.04953115500477279
27,2.6906911253583377,0.8443523621279198,1.5386897710648149,7.703158992086349,5.549174766154589,21.03274359425508,7.087864564575941,1.800132477871652,9.000662389358263,37.73656497361598,2.4579099035102674,9.545268361809633,4.629939202382676,19.234893937547582,0.8814821678235654,2.3140978039252076,2.7721170306567515,8.276979747739611,3.4298995972732387,18.18640915628635,0.4726455145897306,-0.035775155662532275,0.0460326904299502,0.07188008837696983,-0.003926393788606777,0.9819064689865978,0.5454542754325375,-0.03912214323448088,1.0291014057988328,0.4849275970164987,1.0517269179434128,0.019299309184263466,0.9034088906736936,1.0412405113652328,0.3093894501845295,1.9053601124552855,1.3549724859065895,0.3316054911018018,2.8098448226899517,2.397310096856537,1.9686872753935867,3.5749527251707063,8.124951386458912,1.76861791148559,3.38407869695772,1.795403513817199,3.205105525194765
28,2.167083365910023,3.101882130249891,0.18070648688301547,-0.1078085210161508,2.298974324454511,6.1876848354827345,2.4796818522263924,0.464631590538434,2.323157952692171,8.403034578930374,1.900517834698617,4.571333665075333,0.5797377633841205,1.5598386472909103,2.176954792436578,4.820847386332996,-0.02649883775194405,-0.19114614260616009,0.34222722897623664,1.516990754307332,0.3572705161683228,-0.17280351981520103,-0.0027354530889960663,0.13198726116253923,0.06400566822740066,-0.16722971521316735,0.48456154297824516,-0.1117278699515264,-0.17584257027915604,0.17149354158311436,0.019323162581058796,1.461404345077232,0.040914287781391875,0.2724622743382879,0.27470985254952923,0.055063344791626535,0.2730060555196669,1.721364480944275,0.09053728523279113,0.5399203708653993,1.7508183061101685,0.5763280721118285,8.843628523424368,0.057165848103107014,0.0,0.0878988249779849,0.0
31,1.1052375341200351,3.1342874929014193,0.7866753330897255,3.7749355182192805,2.5514715908913947,8.8800755284915,3.3381461437446154,0.6599015170568824,3.2995075852844122,15.954518415343054,2.034551587665481,6.711302176795901,1.3036489475240194,5.936490103391551,1.3078238390269528,2.6141210227770784,0.45144064075547363,1.8412417254383695,1.5777624380521966,8.185694315121605,0.02314245146466399,0.49567588246284666,0.23787576743219951,-0.030202490967396016,-0.004929154323093748,0.05799619080175144,-0.005918973922618233,0.4914586481277505,0.2973000175241995,0.7591816755415308,0.025158238104427248,1.143765886808996,-0.14675573896613064,0.26685980633920126,0.15742141378004665,0.10502119938978621,1.0059430292568714,1.3047711068387107,-0.04041267345389726,1.2741508486147926,1.2696922571714482,1.274812607019991,4.314601951805006,1.3075278250644091,2.5574597803014343,1.5221493123794179,1.56586116025628
33,2.5620661985146356,3.8879929570229397,2.228869859498164,10.528935075525977,6.349406435751425,19.991136781722265,8.578276525218982,2.4985208111195294,12.492604055597647,43.01267597578433,3.8279824158207307,12.878389315440621,4.750730663473852,17.63641344242719,2.658585541852145,5.624652577971291,3.3170942261578693,10.919457774921554,2.606570996347152,13.981854569644598,0.04867556075942105,0.9804545326180446,0.31365906447514935,0.26276871019371306,-0.016923482147623996,0.6387794953447786,0.3116473136681898,0.9636577304525222,0.9526926705744768,1.3432318000850882,0.8850328660776122,1.659900626306752,0.2560191677865429,0.5669716108960502,0.6848421255195565,2.09445172888224,1.0839918515041087,2.3453804590395033,2.3507061112709233,1.6512033296155242,2.483927433266286,3.8644293284665454,8.008324136089,0.2690420513736956,0.0,0.38236623452419494,0.0
34,0.7874166268241203,0.36859164944347617,0.8282426010573715,3.537160391942333,2.449384292421937,7.342621498850564,3.2776271976448337,0.6705094213291855,3.352547106645928,14.232329079928258,2.3835195651696135,7.751621646406273,0.8942748901743293,3.179642830990084,1.289277219753926,2.82564477777352,1.2418962306675423,3.962746152311589,0.7796494768587764,4.1768796397168115,0.18113448149455205,0.22019048179899012,0.30777467399128716,0.11673839449491102,0.013428774364882663,0.03314592993863829,0.2908904938336277,0.22926289180830126,0.3321820564884083,0.6938777307781676,0.14927758803322755,0.987142914536945,0.5246904523465823,0.2465703130828511,0.07029619834380127,0.5019268167290666,0.23571732273972823,1.0355091684115074,1.0185285364150267,0.4740389056778969,1.7227759779241572,0.7686126044426378,4.5172924332633375,0.8458265549039375,2.5949934540952824,1.139094965485613,1.3101811071921243
41,0.13690191643368543,-1.5999011921669015,0.5167633800455115,3.155236030365068,2.420055927575987,7.7792298754709215,2.936819307621499,0.3283856592018989,1.6419282960094956,12.576394201845485,1.497661066225529,5.885311800110266,1.4377723688389852,5.084105035573207,1.0193044337738768,2.0396095413318704,0.5940962508157812,1.6977074698868704,1.3237844645532029,7.2141104497476025,0.019634847070510143,-0.016259829223995624,0.6251295855146128,-0.006426738407421624,-0.06185398540811343,-0.016980403022978464,0.00912396796817741,-0.08066194284241911,0.6030378241580773,0.6196009933279768,-0.09347078930193613,0.6236949633904194,0.20595245809327598,0.08801041362372353,0.4219811098019812,0.4878559559591992,0.6603289623507382,1.0328487920947729,0.689077145913292,0.7435145219757326,0.8968184504204613,1.547162418067369,2.4801813438700377,1.958630181567074,2.218412977823225,2.378558960573827,2.1980978519730963
