#,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3
qm1,1622,254,3669,1351,9038,399
qm2,1538,6560,2637,8048,2813,5851
qm3,1138,7137,604,2551,2839,114
qm4,7447,9084,4255,3647,4014,668
qm5,3749,9125,696,3512,7157,8033
qm6,971,3255,4738,4276,5089,4419
qm7,1868,670,4201,4135,1072,3476
qm8,1678,3970,6657,3859,9143,1160
qm9,1388,7447,8033,766,9038,5851
qm10,696,3669,399,114,7137,2637
qm11,1072,4738,2813,3749,4419,971
qm12,9125,6560,1351,3647,4135,1538
qm13,9084,7157,9143,1868,2551,4276
qm14,5089,1678,2839,4201,6657,4255
qm15,1160,766,670,3512,8048,604
qm16,4014,1138,3970,1388,3255,1622
qm17,254,3476,5851,3859,668,4135
qm18,4201,696,5089,2813,7137,7447
qm19,4738,9125,1160,604,1072,399
qm20,3970,9038,4419,6560,4255,7157
qm21,971,8033,2551,3669,1538,1138
qm22,3476,766,9084,3749,1351,2839
qm23,668,2637,9143,670,1388,3859
qm24,3647,3512,114,254,3255,1678
qm25,1868,6657,8048,4014,1622,4276
qm26,5851,2839,971,696,3970,1351
qm27,5089,766,668,3669,670,7157
qm28,1072,7447,4419,7137,4135,3512
qm29,6657,1138,9125,1868,9038,9084
qm30,399,1678,4276,6560,4014,3749
qm31,4201,2813,2551,254,3647,1160
qm32,8033,3255,4255,3859,1622,604
qm33,114,1538,8048,4738,3476,9143
qm34,2637,971,3512,1388,1868,2839
qm35,766,254,1351,1138,1072,4276
qm36,3859,696,4014,3669,9125,4419
qm37,8033,4201,3749,9143,670,114
qm38,9084,4738,6560,3255,2637,7447
qm39,3647,399,5089,3970,1538,604
qm40,7137,1622,5851,3476,7157,1678
qm41,2551,1160,8048,9038,4255,668
qm42,2813,4135,3669,6657,1388,4738
qm43,604,2839,696,4014,254,9143
qm44,1351,3255,4419,399,7447,670
qm45,5851,4201,3970,9125,3512,9084
qm46,3749,1538,4276,9038,1388,1160
qm47,4255,3647,1868,766,8048,7137
qm48,4135,1138,114,7157,3859,2813
qm49,1622,1678,1072,5089,2637,2551
qm50,668,3476,8033,6560,6657,971
qm51,604,3669,1160,1868,4419,5851
qm52,1388,1351,7157,3255,4201,8048
qm53,1538,3859,9038,9084,670,2839
qm54,3749,1622,4738,7137,668,9125
qm55,114,6657,7447,971,1072,254
qm56,4276,3476,6560,2551,4255,696
qm57,9143,5089,3512,1138,2813,399
qm58,2637,1678,4135,766,3970,8033
qm59,3647,4738,7157,4014,2839,6657
qm60,670,604,254,9125,971,4255
qm61,1388,3512,6560,9084,114,1622
qm62,1538,668,4419,1678,4201,1138
qm63,399,3255,2551,766,2813,1868
qm64,3970,9143,4276,3476,7447,3669
qm65,3647,5851,3859,1072,9038,5089
qm66,7137,1160,4014,8033,1351,2637
qm67,8048,3749,1138,696,4135,6657
qm68,4276,2813,2839,1622,668,670
qm69,604,7157,1868,7447,1538,1678
qm70,3859,3512,3970,1351,4738,2551
qm71,9125,4014,766,114,5089,6560
qm72,2637,9084,8048,4419,8033,254
qm73,1388,4255,399,696,5851,1072
qm74,3647,3669,3255,3476,3749,1160
qm75,7137,9038,971,4201,9143,4135
qm76,114,668,254,5089,1868,3970
qm77,2551,1138,670,5851,7447,4738
qm78,4255,1351,604,6657,3749,2637
qm79,1072,4201,2839,8048,3669,6560
qm80,9038,4014,3476,1678,3512,2813
qm81,9143,1388,4419,1622,9125,3647
qm82,4135,7157,971,1160,399,9084
qm83,1538,696,7137,3255,766,3859
qm84,4276,4201,4738,8033,2813,604
