#,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3
qm1,3128,5026,1148,100,8,2485
qm2,5104,5274,4159,4322,5924,968
qm3,6220,4415,4414,5940,5419,599
qm4,9271,115,8016,8768,4,1323
qm5,972,4123,846,6995,2073,597
qm6,8404,6036,5199,687,3473,973
qm7,1671,294,192,649,2584,5171
qm8,5507,2659,5458,581,3256,2429
qm9,2102,9271,597,8793,8,968
qm10,846,1148,2485,599,4415,4159
qm11,2584,5199,5924,972,973,8404
qm12,4123,5274,100,8768,649,5104
qm13,115,2073,3256,1671,5940,687
qm14,3473,5507,5419,192,5458,8016
qm15,2429,8793,294,6995,4322,4414
qm16,4,6220,2659,2102,6036,3128
qm17,5026,5171,968,581,1323,649
qm18,192,846,3473,5924,4415,9271
qm19,5199,4123,2429,4414,2584,2485
qm20,2659,8,973,5274,8016,2073
qm21,8404,597,5940,1148,5104,6220
qm22,5171,8793,115,972,100,5419
qm23,1323,4159,3256,294,2102,581
qm24,8768,6995,599,5026,6036,5507
qm25,1671,5458,4322,4,3128,687
qm26,968,5419,8404,846,2659,100
qm27,3473,8793,1323,1148,294,2073
qm28,2584,9271,973,4415,649,6995
qm29,5458,6220,4123,1671,8,115
qm30,2485,5507,687,5274,4,972
qm31,192,5924,5940,5026,8768,2429
qm32,597,6036,8016,581,3128,4414
qm33,599,5104,4322,5199,5171,3256
qm34,4159,8404,6995,2102,1671,5419
qm35,8793,5026,100,6220,2584,687
qm36,581,846,4,1148,4123,973
qm37,597,192,972,3256,294,599
qm38,115,5199,5274,6036,4159,9271
qm39,8768,2485,3473,2659,5104,4414
qm40,4415,3128,968,5171,2073,5507
qm41,5940,2429,4322,8,8016,1323
qm42,5924,649,1148,5458,2102,5199
qm43,4414,5419,846,4,5026,3256
qm44,100,6036,973,2485,9271,294
qm45,968,192,2659,4123,6995,115
qm46,972,5104,687,8,2102,2429
qm47,8016,8768,1671,8793,4322,4415
qm48,649,6220,599,2073,581,5924
qm49,3128,5507,2584,3473,4159,5940
qm50,1323,5171,597,5274,5458,8404
qm51,4414,1148,2429,1671,973,968
qm52,2102,100,2073,6036,192,4322
qm53,5104,581,8,115,294,5419
qm54,972,3128,5199,4415,1323,4123
qm55,599,5458,9271,8404,2584,5026
qm56,687,5171,5274,5940,8016,846
qm57,3256,3473,6995,6220,5924,2485
qm58,4159,5507,649,8793,2659,597
qm59,8768,5199,2073,4,5419,5458
qm60,294,4414,5026,4123,8404,8016
qm61,2102,6995,5274,115,599,3128
qm62,5104,1323,973,5507,192,6220
qm63,2485,6036,5940,8793,5924,1671
qm64,2659,3256,687,5171,9271,1148
qm65,8768,968,581,2584,8,3473
qm66,4415,2429,4,597,100,4159
qm67,4322,972,6220,846,649,5458
qm68,687,5924,5419,3128,1323,294
qm69,4414,2073,1671,9271,5104,5507
qm70,581,6995,2659,100,5199,5940
qm71,4123,4,8793,599,3473,5274
qm72,4159,115,4322,973,597,5026
qm73,2102,8016,2485,846,968,2584
qm74,8768,1148,6036,5171,972,2429
qm75,4415,8,8404,192,3256,649
qm76,599,1323,5026,3473,1671,2659
qm77,5940,6220,294,968,9271,5199
qm78,8016,100,4414,5458,972,4159
qm79,2584,192,5419,4322,1148,5274
qm80,8,4,5171,5507,6995,5924
qm81,3256,2102,973,3128,4123,8768
qm82,649,2073,8404,2429,2485,115
qm83,5104,846,4415,6036,8793,581
qm84,687,192,5199,597,5924,4414
